"id","title","content","likes","url","author","views","created_at","updated_at"
"18221636","기아 EV5 양산차 이달 중 최초 공개… 주행가능거리 600km 전망","기아가 EV6, EV9에 이어 선보이는 전기차 전용 플랫폼 E-GMP 기반 세 번째 모델 'EV5' 양산차를 이달 중 글로벌 최초로 공개한다. 준중형 전기 SUV로 출시되는 해당 모델은 82kWh 리튬 인산철 배터리를 탑재해 완전충전시 최대 600km 주행가능거리를 나타낼 것으로 전망된다.2일 외신 및 관련 업계에 따르면 기아는 오는 25일 개최되는 중국 청두 모터쇼를 통해 EV5 양산차를 세계 최초로 공개한다.한편 일부 외신은 EV5 양산형 모델에는 82kWh 리튬 인산철 배터리를 탑재해 최대 600km 주행가능거리를 달성할 것으로 전망했다. 또 기존 EV6, EV9의 800V 초급속 충전 시스템이 아닌 400V 충전 시스템만 제공할 것으로 내다봤다.이 밖에도 EV5 양산차 차체 크기는 전장 기준으로 기존 '스포티지'와 유사한 4.5~4.6m에 이르고 판매 가격은 5000만 원대에 형성될 것으로 전망했다.https://v.daum.net/v/ueuUGug1pw","1","https://www.clien.net/service/board/cm_car/18221636?combine=true&q=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%89+iccu&p=12&sort=recency&boardCd=&isBoard=false","kgican","7538","2023-08-02 15:53:58",""
"18221192","그나마 국산차중에 눈이 가는게 ev랑 아이오닉인데","일반 내연차들은 g80 정도 제외하면 딱히 눈길가는게 없고그나마 관심 가는게 EV6랑 아이오닉5 인데ICCU문제가 발목을 잡는군요...난 아닐거야 하기엔 문제가 크리티컬하고또 아이오닉 같은 경우엔 뒷와이퍼와 화재 소식까지 간간히 들리니참 안타깝네요..그냥 g80가자니 그돈씨에 페리소식 들리고...좋지않네요 ㅎ","3","https://www.clien.net/service/board/cm_car/18221192?combine=true&q=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%89+iccu&p=12&sort=recency&boardCd=&isBoard=false","고서적","3794","2023-08-02 12:43:58",""
"18217656","ICCU 업데이트(무상수리) 관련 질문+아이오닉5 시트 무상수리 정보","아이오닉5 타고 있습니다. 내일 하이테크센터에 가는데 iccu 업데이트를 할지 말지 고민중입니다. 어떤 카페에서는 충전 속도가 느려지고 충전이 잘 끊기니 받지 말라는 글이 꽤 있더라고요..이번 iccu 업데이트(무상수리)는 12v 배터리 미충전 감지 로직만 추가되는건가요? 차가 예고도 없이 뻗는걸 방지하기 위한 업데이트인지, 아님 충전 과정과 관련된 무언가를 손보는 업데이트인지 궁금합니다. 무상수리 안내문에도 어떤 내용을 업데이트하는지에 대한 내용은 적혀있지 않아서 질문드립니다.그리고 아이오닉5 초기 생산분 대상으로 시트 무상수리가 또 떴습니다. 운전석 시트 조절 스위치를 바꿔준다고 합니다. 요즘 현대차 무상수리 겁나 많네요..","0","https://www.clien.net/service/board/cm_car/18217656?combine=true&q=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%89+iccu&p=12&sort=recency&boardCd=&isBoard=false","크크킄","2347","2023-07-31 18:38:20",""
"18215718","'글로벌 3위 굳혔다' 현대차그룹, 다음 타깃은 폭스바겐..전기차 전략에 달려있다","'글로벌 3위 굳혔다' 현대차그룹, 다음 타깃은 폭스바겐..전기차 전략에 달려있다 - 파이낸셜뉴스 현대자동차그룹이 올해 상반기 전 세계 자동차 판매 3위를 기록했다. 지난해에 이어 2년 연속 상반기 기준 글로벌 완성차 톱3에 오르면서 스텔란티스, 제너럴모터스(GM), 르노그룹 등을 따돌리고 2위 폭스바겐을 맹추격하는 양상이다. 특히, 완성차 시장 구도가 전기차 중심으로 재편되고 있어 순위 변동성도 갈수록 커질 것이라는 분석이다.","28","https://www.clien.net/service/board/news/18215718?combine=true&q=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%89+iccu&p=12&sort=recency&boardCd=&isBoard=false","_딘_","42207","2023-07-30 17:40:33",""
"18213640","EV6 ICCU 관련 무상수리 업그레이드 하고 있습니다.","4월 출고 후 아주 만족스럽게 타고 있는 ev6 차주 입니다.최근 현기 전기차 iccu 이슈 덕분에 말들이 많고 저도 살짝 불안한 마음으로 타고 다녔는데요.지난주 기아차에서 무상수리 통지문(리콜?)이 와서 담주 휴가철을 맞아 미리 점검 받으러 오토큐 방문했네요.일단 증상이 나타나지 않으면 소프트웨어 업그레이드를 진행한다고 하여 업그레이드 중이구요.증상이 없는데 이걸 해야 하나 고민도 되었는데 일단 문제 터지기전에 예방하자는 생각으로 접수 했습니다.업그레이드 후 문제가 발생할지는 모르겠네요.부품 교체를 해도 개선품은 아직 아닌 걸로 압니다.전기차 특별점검 기간이라 하여 같이 봐주신다고 하네요.여튼 별 문제 없길 기대해 봅니다.참,인천 송도 기아 오토큐인데요.지난 수요일에 새로 오픈하여 깔끔하고 직원분들도 친절하시네요모든게 새거...ㅎㅎㅎ특이하게 대형 상가건물에 입점해 있어 1층 접수,차는 6층으로 올려보내네요.전기차라 자주 올 일은 있겠냐마는 송도에 오토큐가 없었는데 좋습니다.","1","https://www.clien.net/service/board/cm_car/18213640?combine=true&q=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%89+iccu&p=12&sort=recency&boardCd=&isBoard=false","뚝방집","4253","2023-07-29 11:18:57",""
"18211779","현대 EV특별 무상점검 캠패인 무의미","안녕하세요.최근 EV 사용자들은 특별 안전 점검 관련 메시지 받으셨을텐데 의문점이 있어 확인해봤습니다.점검 내용으로- 고전압배터리 절연저항 및 ... ...확인 등- 공냉식/수냉식 냉각시스템 점검- 케이블 손상 점검등등블루핸즈는 EV거점 등 특별한 사례가 아니라면 절연저항등 점검이 불가하다고 합니다. 사실상 진단기 코드 확인하고, 육안으로 상처 있나 보고... 그정도 수준인것 같네요.절연저항등 점검하려면 하이테크로 가야 한다는데 무상점검 캠패인은 하이테크에서 안하는것 아닌가요?! 또는 사실상 예약이 불가능한 수준이라거나...따라서 해당 캠패인 관련하여 일반 블루핸즈는 예약할 필요 없겠습니다. 시간낭비죠.무상점검 절연저항 점검 타령하며사실은 ICCU관련 S/W판올림이 진정한 목적이 아닌가 싶은 심대한 의구심이 드네요.약 한달 전에현대에서 일선 블루핸즈마다블루온(...)부터 현행 모든 EV들 모델별로 기간 나누어서 입고받는대로 이러이러한 부분들 일체 재확인 하도록 공문을 내린걸로 아는데요.(이 때는 ICCU관련 업데이트가 공식적으로 발표된 때가 아님)굳이 뜬금없이 무상점검 캠패인이라니 뭔가 미묘하네요...***추가: 레이더 관련 개선품은 아직 공지가 없다고 합니다.","0","https://www.clien.net/service/board/cm_car/18211779?combine=true&q=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%89+iccu&p=12&sort=recency&boardCd=&isBoard=false","별멍멍멍","3110","2023-07-28 11:45:00","2023-07-28 11:50:36"
"18211423","아5 11kw 완속충전기 사용 시 충전 멈춤으로 하이테크 예약했습니다. (1차 기록)","작년 말에는 카플레이 연결하는 USB단자 연결 끊김 문제로별 짓 다 해보다가 결국 하이테크에서 USB-케이블 어셈블리 교환으로 마음의 평화를 찾았는데이번에는 11kw 충전기 사용 시 충전 멈춤으로 고통받고 있네요.현재 거주 중인 아파트 저희 동 충전소에이지차저가 총 5대 설치되어 있는데, 그 중에 3대는 7kw 2대는 11kw 입니다.평상 시에는 보통 7kw 충전기로 충전하고충전 속도 100%로 설정해도 아침까지 안 멈추고 충전이 잘 됩니다.그런데 가끔 늦게 들어가면 7kw 자리가 없는 경우가 있어서11kw 자리에서 충전을 시도하는데그럴 때 마다 30분 정도 지나면 어김없이 블루링크로 충전 실패/멈춤 관련 메시지가 도착합니다.두 대의 11kw 충전기를 모두 사용해 봤을 때 동일한 증상이 발생하고,다른 주민의 아이오닉5와 나란히 세워놓고 충전해보면 제 차만 중간에 멈추네요.심지어 아내의 코나EV로 충전을 해 봐도 멈추지는 않습니다.해당 두 대의 11kw 충전기 외에 다른 지역 다른 회사의 11kw 충전기를 아직 사용해보지는 못 했지만위와 같은 교차 테스트 결과만으로도 이미 제 차량 문제일 확률은 높아보입니다.일단 가까운 하이테크센터에 예약을 했으나 9월이나 입고가 가능하고,입고를 해도 부품이 없으면 부품 교환이 필요해도 당일 수리가 불가능할 게 뻔합니다.(미리 부품이 준비되어 있는 경우를 거의 못 봤습니다.)지난 번 USB 케이블 어셈블리 이슈 때도동일 이슈 사례 조사를 많이 하고, 케이블 어셈블리 교체가 필요하다고 생각해하이테크센터에 무조건 부품 준비를 다이렉트로 요청했고,그 결과 겨우 당일 조치를 받은 기억이 있네요.이번에도 일단 증상과 테스트 결과들을 모두 고객센터에 전달했고,예약한 하이테크센터에도 전화 연결하여 다시 한 번 증상과 테스트 결과를 전달했습니다.아직 한 달이 넘게 남은 시점이라 하이테크센터에서는 예약일 10일 전쯤예약된 서비스그룹에 다이렉트로 전화해 달라더군요.그 쯤 서비스그룹에 연락하여 그룹장과 대화해 부품 준비를 요청하라고 하네요.이렇게까지 하면 보통 준비는 해주더라고요.아직 하이테크센터 입고까지는 시간이 많이 남아서우선은 최근 공지된 ICCU 업데이트 시도해보고,다른 회사 11kw 충전기도 찾아서 한 번 충전을 시도해볼까 합니다.물론 큰 기대는 안 되네요.ㅎㅎ이렇게까지 테스트 해보고 동일 이슈 검색해본 결과는항상 부품 교체였어서요...또 지리한 기다림과 엔지니어와의 논쟁을 대비해야겠습니다.","0","https://www.clien.net/service/board/cm_car/18211423?combine=true&q=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%89+iccu&p=12&sort=recency&boardCd=&isBoard=false","PalPark","2055","2023-07-28 09:13:08",""
"18206502","기아, 내년 하반기 '소형 전기 SUV' 출격…전동화 선택지 넓힌다","준중형 EV6·대형 EV9 계보 이어 통합 열관리 시스템 첫 탑재 계획 주행 성능↑에너지 손실 최소화 EV6 등 국내시장서 판매 상승세 라인업 강화해 시너지 효과 기대 ...25일 업계에 따르면 기아는 내년 하반기 출시를 목표로 소형 SUV(프로젝트명 SV)를 개발하고 있는 것으로 알려졌다. 소형 SUV에 적용할 새로운 열관리 시스템 등 전장 부품 대량 양산을 위한 성능 테스트를 내년 2분기 진행한다. 테스트 일정 등을 감안할 때 내년 하반기 출시가 유력해 보인다. SV는 현대차그룹 전기차 플랫폼 E-GMP 기반으로 제작하는 가장 작은 SUV 모델이다. 기아 준중형 SUV EV6, 대형 SUV EV9의 계보를 잇는 소형 전기 SUV다. 대용량 배터리와 고효율 열관리 시스템을 탑재해 주행 성능을 강화하고 에너지 손실을 최소화한 것으로 알려졌다. 내년 계획대로 SV가 출시되면 기아 주력 전기차 라인업은 SV(소형)-EV6(준중형)-EV9(대형)으로 늘어난다. 기아 EV6과 함께 신차 EV9에 이어 소형 SUV 모델을 추가해 글로벌 전동화 SUV 시장에서 고객 선택권을 대폭 확대한다는 구상이다. 기아는 올해 전기차 시장에서 두드러지는 성장세를 보이고있어, SV의 추가 합류에 따른 시너지 효과에도 기대가 모인다. 첫 전기차 전용 모델인 EV6는 올해 상반기 국내 판매량은 1만927대로 국내 전기차 부문 판매 1위를 기록했다. EV6는 급성장하는 미국에서도 글로벌 판매 10위에 오르기도 했다. 미국에서 상반기 8000여대 이상 판매되며 현대차 아이오닉5에 이어 국내 2위를 차지했다. ...기아는 고성능 SUV 라인업 확대에 대응해 전동화 공급망도 강화했다. SV는 전기차 배터리 잔존 수명을 늘려 주행거리를 늘리고 차량 열을 관리하고 폐열을 회수해 열원으로 활용한다. 이를 위해 통합 열관리 시스템이 처음으로 탑재될 것으로 알려졌다. 국내에서 한온시스템, 현대위아, 현대포리텍, 우리산업 등이 열관리 부품을 통합하는 기술을 개발하고 있다. 국산 부품 탑재를 늘리며 글로벌 전동화 수요에 대응하고 있다. 고성능 부품 개발 협력을 강화해 전기차 성능을 극대화하겠다는 방침이다.","3","https://www.clien.net/service/board/news/18206502?combine=true&q=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%89+iccu&p=12&sort=recency&boardCd=&isBoard=false","요트맨","19653","2023-07-25 18:57:05",""
"18205799","아이오닉5 ICCU 업데이트 하러 왔습니다..","사실 전동트렁크 개폐시 모터 소음이 있어서 접수를 했는데요,정품인증이라도 하는듯이 서비스센터에 오니 멀쩡해지더라구요(?)그리고 서비스센터 단골 멘트로 지금은 괜찮으니 좀 더 타보고 오시라고 ㅎㅎ그래서 온 김에 리콜 무상수리 가능여부를 여쭤보니 가능하다고 30분정도 기다리라고 하시네요~OTA되는 차량들은 원격으로 되려나요... 부럽습니다 ㅠ ------------업데이트 후 완속 충전을 하러 왔는데요,배터리 잔량 15%에서 6.4kW/h로 충전하네요6.6kW도 나오던 충전기였는데 업데이트 탓인지 충전기 컨디션탓인지는 잘 모르겠습니다..","2","https://www.clien.net/service/board/cm_car/18205799?combine=true&q=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%89+iccu&p=12&sort=recency&boardCd=&isBoard=false","ⓝporori","4237","2023-07-25 14:37:36","2023-07-25 15:37:35"
"18204639","다음차는 아이오닉5 PE를 생각했는데","요즘 ICCU랑 현기차 대응을 보아하니...지금 타는 니로EV가 4년 14만 주행동안 별탈 없음에 감사하며50만 채우고 아이아닉5 풀체인지 기다려야겠어요 ㅎ","0","https://www.clien.net/service/board/park/18204639?combine=true&q=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%89+iccu&p=12&sort=recency&boardCd=&isBoard=false","참치Jr.","3020","2023-07-24 22:28:54",""
