post_id,cmt_content,cmt_author,cmt_created_at
6260460,내가 벤츠 차주라도 좀 많이 억울할듯...차를 구매한 것밖에 없는데...,얌체운전자박멸,24.08.08 18:17
6260362,차량 메뉴얼에 전기차만의 운행지침이없는이상 운전자의 운전습관으로과실을 몰아가는건 어려움,저능아보면댓글다는형,24.08.09 07:42
2320582,배터리 열폭주에 의한 화재 증상인 화염방사같은 화염 분출이 이미 카메라에 찍힌상태임.이거만으로도 배터리 열폭주에 의한 화재인게 일단 확정적임.충격에 의한 열폭주는 4시간을 넘어간 사례가 일단 중국에는 없음.60시간 이후라는건 벤츠가 증명해야하는데 불가능할것.증거가 없다? 그렇다면 중국내 사례들을 모아보면되고 광저우 자동차의 파라시스 적용 배터리 화재사례 공식 보도자료만 모아도 될듯.,Shuri,24.08.08 17:39
6260352,벤츠에서 뇌물을 쳐매기거째,슬램덩코,24.08.08 17:08
6260339,저희 아파트는 주상 복합에 1층도 헬스장 골프장 이런거 있어서 뭘 만들기가 불가합니다.,규경꾼,24.08.08 18:05
3135868,직접세 조세저항 쎄니까간접세 인상 + 소득세 비율 20년 고정으로 알아서 잘라 먹을개우@_@뽜화화화~,LANIGIRO,24.08.08 17:02
6260216,전기차 불나도 저정돈데 원자력 발전소 누출사고 나면....,쟈칼드리버,24.08.08 16:25
708696,저 딜러는 180 돌았구나! 분위기 파악 못하고차뿐만 아니라 파는일을 해선 안되겠네 벤츠는 딜러까지도 이상해지는구나 때려처라,CN7AHI,24.08.11 10:29
708692,벤츠는 112만원 수리에 본넷새똥이 있다고 세차안해준다고하니 진상취급하고 bmw는 8만원짜리 서비스하나 받았는데 차더럽다고 노터치세차해주면서묵은떼는 못지웠다고 미안하다고 문자옴,enzma004,24.08.10 10:17
3135630,중국산 10만원 이상은 거르는 것으로 배웠습니다.먹는 것 몸에 닫는 것 생명과 관련된 것은 No No!!,좋은아침33,24.08.08 10:38
6259719,국토부 자료에는2023년 자료만 보더라도 1만대당 화재건수가 내연차 1.9대  전기차1.3대 로 확인됩니다. 기자들이야 원래 그랫으니 이해하지만 팩트 좋아하는 보배형님들 댓글은 충격이네요..,다믹,24.08.09 12:37
3135550,먼소리? 경고가 떠서 센터와 연락하여 견인해서 테슬라에 가져간거고화재 가능이 있어 소방서 대기하였는데 불이 났음.낸중 분석해보니 외부에서 천공이 있어 불이 난거로 판명.잘 알지도 못하면서타기 싫으면 타지마세요,혀니v아빠,24.08.09 10:52
2320474,보기드믄 개념글이네요,DEEPFAKE,24.08.08 01:10
6260698,사고나서 불나면 문은 열리나요? 문이라도 열려야 소화기 써보기라도 하지…..,내빤스망사,24.08.08 23:29
6260677,행여 벤츠에서 하부에 데미지난 자국이 있다거나 말같잖은 핑계를 대며 보상 거부하면 볼만할 듯…데미지로 차량 폭발을 한다고 하면 그건 전쟁토에나 가져갈 차.,카나다디언79,24.08.09 11:26
708705,풍문이 아니였어 벤츠 중국차 확신!,바거난겨10912,24.08.08 22:07
2320636,전기차 오도송 320d.없으면 무슨재미로 살까?,새차에진심,24.08.08 21:42
6260603,전기차는 지하에 못 들어 오도록 하는게 답입니다,사담후세인,24.08.08 21:17
708701,헤리티지는 얼어죽을 ㅋㅋㅋ,삼점삼터보,24.08.08 21:16
6260571,기사 꼬라지 하고는.. 숫자상 Max를 가지고 부정여론 근거로 쓰네.. 불난 아파트 주민 이에요.. 대부분 인근 공공기관 연수원 들어갔고 기사만 큼 어마 무시하게 세금 혜택 안받습니다. 그리고 저사람들도 인천시에 열삼히 세금내고 사는 사람들입니다. 기레기 펜대 장난질에 호도되지 않았으면 합니다.,altarri,24.08.08 21:02
6260498,이때다 돈뿌려서 표사자!!!!,328MT,24.08.08 18:55
6261033,23년 8월식 14.2km 탄게 6400만원,라온미리,24.08.09 11:05
815635,한국화 다 됐네! 흉기차 엔진오일 교환권 주는 거 보고 배웠나 보구나!!!,일벌백계,24.08.09 11:59
6260979,퇴사했다고합니다.만들때는 아 나는 천재야 했지만아 쟛댓구나 하고 퇴사런,머머뤼,24.08.09 11:09
6260908,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ파라시스배터리,붓다페스트,24.08.09 08:54
708785,짱츠 멀리 안 나간다. 아우디랑 잘 지내라~,FC바로쌀놈아,24.08.13 11:12
708780,싸구려 중국산 배터리 탑재 아니었나요? 갑자기 코나 LG?,공정과정의50억,24.08.13 08:21
6263704,역시 배터리는 메이딘 코리아,붓다페스트,24.08.12 13:18
708777,고민 고민하지마 법을 만들면 되 뭘 고민해,0652,24.08.12 18:13
6261480,전기차를 굳이 독일메이커 살 필요가 있나 걔네들은 내연기관 잘만들던 애들인데,throttle,24.08.09 23:41
