post_id,cmt_content,cmt_author,cmt_created_at
1533122,이러면 얘기가 다르지요??,폭스원I고양,2024-08-08 19:05:00
1533122,cctv도 다 공개 안하더니,듀스틴IGV60I대구,2024-08-08 19:09:00
1533122,30년 넘은 구축인데 충전시설이 지하에 있어서 더 불안하네요 소방시설이 잘 작동할지...,초보 제네시스 대전,2024-08-08 19:10:00
1533122,소방시설은 매년점검받게되어있고 작동안되는건 수리후 다시점검받게 되어있습니다. 문제는 관리실 에서 어떻게 관리하냐가 중요합니다.~,늘푸른ll레이evll원주,2024-08-08 19:13:00
1533122,ㅋㅋㅋ 뉴스 댓글보면 진짜 심각하네요 어휴...,센양I모델3I안산,2024-08-08 19:22:00
1533122,아파트에서 전기차 제한하면 스프링쿨러 점검여부를 요구해야겟어요.,서울Igv60I페더럴,2024-08-08 19:37:00
1533122,이러면 또 야기가 달라지지 않나요? ㄷㄷㄷ,멍멍이I모델3I수원,2024-08-08 19:43:00
1533122,세대수도 많은데 관리 개판..,다방구lEV9l경기,2024-08-08 20:19:00
1533106,김앤장이군요... 어떤 결과가 나올지,쏭이l볼트l대구,2024-08-08 18:41:00
1533106,제조사 책임이 크긴하나 스프링쿨러 작동과 소화시설이의 작동유무에 대한 이야기는 없네요. 전기차가 화재에 취약하긴하나 일반 내연기관 차량도 화재가 여럿 발생했었고 주차장 대형화재도 여러번 있었는데 모든 화살이 벤츠에 집중된거 같은 느낌이네요. 우리나라 거주형태상 아파트가 대부분이고 어떤 차도 제조사도 화재에서 자유로울 수 없다고 봅니다. 소방시설에 대한 강력한 규제와 점검도 돌아봐야 할것같네요,알루80,2024-08-08 18:53:00
1533106,"과실 비율이 얼마나 나올지, 궁금하네요. 이후 유사 사례에 인용이 될텐데, 스프링쿨러 미작동 vs 배터리는 어찌되었는 벤*가 책임진다 (배터리와 BMS 중에 어느게 더 문제 일까)차량제조사의 비중이 크지 않다면, 나머지를 보험사에서 손실처리할지. 아님 소방시설 정상 관리 비율은 얼마나 책정이 될지가첨예하게 대립될거 같네요.",수IeGV70I경기,2024-08-08 18:58:00
1533106,결과가 궁금해지네요,유니77서울,2024-08-08 19:09:00
1533106,손보사가 벤츠에 청구하는건 일단 당연한순서 벤츠는 스프링클러 미작동으로 화재확산책임은 아파트관리측에 소송걸듯 참고로 천안 세차차량폭파사건은 스프링클러 미작동으로 관리주체 구속까지 갔습니다 미작동은 심각한사항임 정상작동했다면 이런 큰 대형화재로 안번지고 1-2대 타고 끝났음,도르르llEV9ll용인,2024-08-08 19:37:00
1533106,상대가 대기업이라 적당한 선에서 합의볼듯 70억 아님 65억.. 예상해봅니다.이건 시작이고 앞으로 소송 줄줄이 ... 합의금 털린거 차값이랑 수리비 올려서 충당하겠죠.,상한가l니로l전국,2024-08-08 19:51:00
1533106,"벤츠 먼저 걸고, 벤츠가 아파트 걸고 어떤 판례로 남을지 귀추가 주목되네요",곰탈I볼트ev3I경기,2024-08-08 19:51:00
1533106,변호사 비용이 만만치 않겠군요,서울가람,2024-08-09 00:07:00
1533106,벤츠 측은 이번 결과가 어찌 나오든 이미지에 심대한 타격을 받을수밖에 없겠네요. 파라시스는 이번 사건으로 처음 들어보는 배터리 회사인데 독삼사 프리미엄 브랜드가 탑재할만한 배터리는 아니지요. 근데 덕분에 배터리 실명제를 실행할 것 같아서... 일종의 과도기적 사건이 아닐까 생각도 해봅니다.,아이오니아5l아5l여수,2024-08-09 00:30:00
1533077,어질어질하네요,하루l꼬나l경기,2024-08-08 18:03:00
1533077,대다나다,차단판독기I울산,2024-08-08 18:05:00
1533077,기업으로써는 참 쓰레기네요,레딧Ii4I송도,2024-08-08 18:06:00
1533077,벤츠는 이제 국내에서 전기차 팔기 힘들어지겠네요,아침의라이더I경기,2024-08-08 18:07:00
1533077,이 사건을 계기로 우리나라에서 벤츠 사는 사람 있을까요? 지금 차주 분들은 전혀 상관 없는 얘기 입니다.,고라파l모델Yl동탄,2024-08-08 18:08:00
1533077,BMW불나도 더 잘팔렸잖아요.,하루l꼬나l경기,2024-08-08 18:38:00
1533077,세일하면 개때처럼 몰려 들껄요. 벤츠 가장 저렴하게 살 기회다 하고요.,바람꽃ㅣeg80 l충주,2024-08-09 08:13:00
1533077,비교가 잘못되었습니다. 국산차도 마찬가지로 불나도 잘팔립니다,율트롱I이트론55I부산,2024-08-09 09:12:00
1533077,배터리셀 제조사와 셀패키징 하는 회사가 국가가 다른게 이상한 일인가요 ? 산업계에서 흔한일 아닌가 싶은데 뭐가 문제인지 모르겠네요,코끼Ii3I서울,2024-08-08 18:09:00
1533077,네 그건 문제 없어요. 기사가 재밌네요,레딧Ii4I송도,2024-08-08 18:11:00
1533077,물 들어올때 노 저어야지요.,디오니ㅣ모3ㅣ서울,2024-08-08 18:22:00
1533077,정보공개가 불투명했었으니 이참에 까는 듯,허리케인I볼트evI서울,2024-08-09 09:43:00
1533077,이 상황에 정보공개가 어렵다라~한국에서 벤츠 구매한 오너분들은 죄송스럽지만너그러운 한국법에 삐대는 벤츠를 보고 계시네요.,인생의재미,2024-08-08 18:09:00
1533077,기가 막힘.,나이쑤I아5NEV3l시흥,2024-08-08 18:17:00
1533077,진짜 이런xx기업 고객기만 한국호구로 보는 능력있으면 퇴출시키고 잡네요,순천사랑I닉5모Yl순천,2024-08-08 18:20:00
1533077,쓰레기사기꾼기업,그랜져없음I충북,2024-08-08 18:44:00
1533077,기가막히네여. 대책 내놓아도 션찮을판에 정보공개가 어렵다라니. 이런 기업은 퇴출시켜야 합니다,지정채lev6l전북,2024-08-08 18:37:00
1533077,벤츠코리아 퇴출감 아닌가,capl화성,2024-08-08 19:02:00
1533077,"얘들 어느 배터리가 들어가는지만 밝히면 되는데, 그런거 안하니 의심을 받는 거지..",수IeGV70I경기,2024-08-08 19:04:00
1533077,이나라 조나라 가는거 산업계에서 흔한거 아닌가?,그래그래I모3EV6I충남,2024-08-08 19:12:00
1533077,Made in korea. 만 인정하는 분위기입니다. 저도 다음차는 꼭 현기로 살려구요 ㅎ,행복매일IeqaI전남,2024-08-08 20:02:00
1533077,가격대도 높은데 중국산 베터리 썼다는것도 놀랍고 제조사 공개 규정이 없다니 참 걱정이네요 ㅜ,반하,2024-08-08 20:01:00
1533077,x6팔고 eqs 얼마전에 구입했는데..,쭈I모델yIeqsI서울,2024-08-08 20:36:00
1533077,"매출액 7조 9,375억 4,695만원(2023년) 영업이익 2,392억 7,791만원(2023년) 당기순이익 1,898억 4,181만원(2023년)",준에보IEQElEV9l용인,2024-08-08 21:41:00
1533077,고객에게 거짓말을 저리 뻔뻔하게 하는 업체라니.. 이건 애당초 마인드가 중공마인드네요. 저런 마인드라면 전기차 뿐만 아니라 모든 차량에 대해 비도덕적일 가능성이 높다고 봅니다.,짱세I무I경기,2024-08-08 22:09:00
1533077,그래도 로고는 제대로 박혀있잖아요. 한잔하시져,클린Iev6아5I경기,2024-08-09 02:07:00
1533077,심각하네요,o JC o,2024-08-09 07:52:00
1533077,"Farasis Energy(孚能科技)는 파우치형 배터리 모듈 팩 제조가 주력입니다.본문에서 eqe에 탑재되는 배터리셀도 Farasis에서 제조 한 것으로 표현했는데, 이는 사실관계 확인이 필요해 보입니다.배터리 셀 관련해서는 2021년에 지리자동차와 전기자동차용 리튬이온배터리 생산·판매 등을 위한 합작회사를 설립한다는 발표가 있었습니다.저도 eqe, eqs, eg80 고민하다다 eg80으로 왔는데, 이걸 잘했다고 해야할지...",전기차유망주eG80광주,2024-08-09 09:40:00
1533077,4개국 생산이라해도 아무 문제 없는 내용인데 왜 이런 기사가 나오는지 모르겠네요 이걸로 문제 삼으면 수제차 아니고서는 지구상에 모든 공장생산 차들 다 문제입니다,독개구리l아6l부산,2024-08-09 09:59:00
1533077,결국 eq a b e 단네요 s c 는 아닌가 보네요,크리스l모SYEV9l경기,2024-08-09 11:02:00
1533077,저게 뭐가 문제죠ㅋㅋㅋㅋㅋㅋ,이트론살까말까l서울,2024-08-09 13:25:00
1533075,https://www.youtube.com/watch?v=RKO5_R4E29I모닝에서 화재난 건데 일부 댓글들은 전기차 타령..언론은 현기는 언급 못하는 홍길동의 모습…https://news.sbs.co.kr/news/endPage.do?news_id=N1007755717청라 화재 한달 전 스프링클러 불량 확인..빨리 빨리 수리했다면..결과가 달랐을.. 안타까운..,반색I모델3I경기,2024-08-08 18:06:00
1533075,그 한 개 불량도 사고현장과 멀다고 상관없단 소리가 있더군요. 아무튼 스프링클러 미작동으로 거의 확실시 되가는데 참...,피버I볼트EVI고양,2024-08-09 09:38:00
1533075,밸브 잠금… 확인사살,반색I모델3I경기,2024-08-09 10:56:00
1533075,저는 기분나쁜게 아파트 관리비 똑같이 내는데 전기차는 무조건 지하주차장을 이용하지 말라며 쫓아내는 모양새가 맘에 안들어요. 현실적으로 아파트의 공용 시설 일부의 사용을 제한하는 댓가로 관리비를 차감한다던가하는 등등의 제안이나 타협없이 진입 절대 불가라니... 이거 그냥 전기차 차주는 따르기만 해야하는건가요?,행복한하루되길19광주,2024-08-08 18:23:00
1533075,"제 말이 그 말입니다. 같은 관리비 내고 있는데 왜 쫒겨나듯이, 죄인 취급 당해야하죠?",피버I볼트EVI고양,2024-08-09 09:39:00
1533075,오늘 정의선 파리에서 들어와 기자가 기아차 화재 물으니 한마디 사과도 안하고 도망가는 비겁한 모습 시전하네요,거니llEV6ll부산,2024-08-08 18:42:00
1533060,맞는말씀이십니다,마르지엘라,2024-08-08 17:55:00
1533060,차주님들께 대비/주의 안내문이 권고/권장 등으로 해석도 될 것 같은데 출입 금지라는 강압적인 조치 보다는 다행스러워 보이네요.지하 주차장 출입 금지라든지 충전기 전원으로 내려버렸다는 오늘의 게시글들을 읽다 보니..비행님 주택 시설에서도 전기차 만이 아닌 바른 화재 사고 정립과 대비책들이 확립 되길 바랍니다.,차크닉IGV60I일산,2024-08-08 17:58:00
1533060,비슷하시네여..몇일전부터 그냥 지상에 주차중이네요마음은 조금 편합니다,엔젤리c대전,2024-08-08 21:42:00
1533060,"안녕하십니까 선생님, 채널A 장호림 기자입니다.우선 최근 불미스러운 일로 인해 주위의 시선 등 피해를 입고 계신 전기차 차주 분들께 심심한 위로의 말씀 드립니다.이렇게 글을 쓰게 된 이유는 최근 전기차 화재로 인해***아파트 내에서 직접, 간접적으로 주차 금지, 전기차 충전소 전원 내림 등 피해를 입으신 분들의 목소리를 듣고 있습니다. 전기차 화재로 우리 사회 곳곳에서 일어나고 있는 갈등을 전체적으로 다루고, 실질적으로 어떤 해결 방안이 있을지 고민하는 기획 기사를 써보고자 합니다. 혹시 괜찮으시면 관련해서 말씀을 여쭤볼 수 있을지요.혹시 전기차를 보유하고 계신 입장에서 가감 없이 말씀 주실 분 있으시면 아래 제 명함으로 연락 주시면 감사드리겠습니다. (원하시면 철저히 익명도 보장 가능합니다) 감사합니다.",태양 I 서울,2024-08-08 22:55:00
1533051,"출퇴근용,시내주행이면 적당적당~~합니다",그대로l볼트l대구,2024-08-08 17:48:00
1533051,"제가 코나 출퇴근용으로만 쓰는데 1주일에 1번도 충전 안해요,,, 많이 타실 거 아니면 레이두 괜찮지 않을까요? ㅎㅎ",코붕이I코나I성남,2024-08-08 17:51:00
1533051,https://youtu.be/bbVVxpC5l4A?si=T9IbRU_cwnqoxV-s,충전중Ii4I경기,2024-08-08 17:51:00
1533051,감정적인 그런 댓글이나 그런거 보지마시고 이 영상 한번 보시고 판단해보세요 문제가 정말 전기차여서인지,충전중Ii4I경기,2024-08-08 17:51:00
1533051,"음~ 단점 장점 쭉~ 설명도 해보시고, 얼만큼 소유하고 싶으신 마음도 표현해 보시고.. 그 후에 마음 편한 선택 하세요ㅎㅎ",차크닉IGV60I일산,2024-08-08 17:52:00
1533051,전기차 만족하실겁니다. 엔진진동이 없어서 정말 처음에 좋습니다. 레이ev는 인산철 사용해서 특히 화재에 안전합니다. 불이 거의 안나요.. 주행거리가 좀 아쉽지만 충분히 좋은차일거라 봅니다. 그리고 100프로 충전해도 ncm대비 안전한 인산철이라 100프로 충전하고 다니시면 됩니다. 제가 건설현장에 안전장비 공급하는데 인산철베터리씁니다. 현장이 기본적으로 300~400군대 되요.. 인산철 1년내내 돌리고 건설현장이 극악한데 한번도 사고 난적없습니다. 1군건설사들어가고 현대건설 롯데건설 한화 등등 다들어갑니다. 거기서 사고났으면 진작 퇴출입니다. 안심하고 쓰세요..,누눈i ev6 i 전북,2024-08-08 18:22:00
1533051,전기차는 미래에요. 내연차는 과거고,고라파l모델Yl동탄,2024-08-08 18:32:00
1533051,레이 가솔린 가세요 유지비 차이도없어요,으앗앗아,2024-08-08 19:15:00
1533051,주행성능이 너무 차이나죠;;,뿌꾸남l레이evl울산,2024-08-08 19:46:00
1533051,+ 중고 경차 추천,으앗앗아,2024-08-08 19:17:00
1533051,레이 가솔린과 ev는 껍데기만 같은 다른차라고 보셔야합니다....,래이I레이브이I경기,2024-08-08 20:00:00
1533051,전기차는 시기상조입니다 내연 레이로 가세요.,무사li4l대전,2024-08-08 21:42:00
1533051,저 아산 사는데 지금은 늦었나요? 언제 계약 하셨어요?,아리lEV9l아산,2024-08-08 23:29:00
1533051,7월17일입니다!,아산레이ev,2024-08-09 11:08:00
1532992,현기차 일부도 중국 배터리 사용중이란게 함정이죠,완주남좌,2024-08-08 17:07:00
1532992,China's Moving Bomb. 가끔 서양애들도 중꿔들 많이 싫어하는거 같네요. 우리야 이놈들이 호시탐탐 한국 먹어 치우려고 그러니. 싫어하는데.. 애들은 왜 그러지.,수IeGV70I경기,2024-08-08 17:08:00
1532992,중국에도 수많은 배터리 회사가 있을겁니다 그나마 많이 알려진 catl은 우리한테 어느정도 익숙하지만 안전성도 검증 안된 배터리 회사도 엄청나게 많을겁니다 중국도 전기차 전환이 은근 많이된 나라인데 비난하기전에 제품별 화재건수를 알려주면 더 도움될듯 합니다,힐스leqel대전,2024-08-08 17:09:00
1532992,저긴 진짜 극한의 원가절감이 들어가야 판매가 되기 때문에 안터지는게 더 이상한 걸 수도 있습니다.,디올뉴I코나I성남,2024-08-08 17:13:00
1532992,2만1천건은 전기 오토바이 포함일겁니다.,에코비엠wI아6I전북,2024-08-08 17:32:00
1532992,Wsj 은 기자가 한국인이니까 올린거지요.,롤올올I경기,2024-08-08 17:57:00
1532992,하루 세계 각 지역에 특파원이 올린 기사가 사건 중요도에 따라 승인 후 wsj에 실립니다. 한국인 기자라서 다 실리지 않습니다.,조셉l수원,2024-08-09 09:29:00
1532990,악마도 절레절레,소멸은신I모델YI인천,2024-08-08 17:05:00
1532990,저거 프로모션 승인하시분 뇌구조가 궁금하네요,도이치반I모델3I경기,2024-08-08 17:06:00
1532990,오해하면 안되는게 벤코에서 정식 승인한게 아니라 교*모터스에서 개별적으로 영업한거네요 근데 영업방식이 좀 더럽네요,힐스leqel대전,2024-08-08 17:13:00
1532990,벤츠 이름을 쓰니 관리해야죠,소멸은신I모델YI인천,2024-08-08 23:27:00
1532990,사탄도 한수 접겠네;;;;,차단판독기I울산,2024-08-08 17:14:00
1532990,하 진짜,봉고니Iev9I화성,2024-08-08 17:24:00
1532990,와 진짜개노답이다.. 대처나 똑바로해라,주현아빠lEV6l순천,2024-08-08 17:26:00
1532990,클린봇이 부적절한 표현을 감지한 댓글입니다.,84남편ㅣID4ㅣ화성,2024-08-08 17:27:00
1532990,할인을 40퍼쯤 해주면 진짜 마음이 있구나 싶을 것 같은데 2프로 ㅋㅋㅋㅋㅋ,스테리I인천,2024-08-08 17:49:00
1532990,이래서 ㅊ팔2란 소릴듣는거...,엘리트I서울,2024-08-08 18:02:00
1532990,위로의 말 씀 드리고 ㅋㅋㅋ 편집상태보소,쥐l모와이뷔나인l서울,2024-08-08 18:04:00
1532990,벤츠답네요얼마나 호구로 보고있으면....,거북l아이오닉5l시흥,2024-08-08 18:13:00
1532990,와 개빡치네요,반갑습니다ll인천,2024-08-08 18:29:00
1532990,합성 아니죠? 절레절레,화재보상I포터evI인천,2024-08-08 19:10:00
1532972,벤츠에 배터리 전문가가 있을지 ㅋㅋㅋ,빠떼리I모XI세종,2024-08-08 16:52:00
1532972,국내 전기차 배터리 화재 사고 중 대규모의 전문 인력과 제조사 전문가가 함께하는 가장 큰 케이스입니다. 많은 분들이 관심을 가지고 있고 진지하게 지켜볼 필요성이 있습니다.,무사lEQS53l서울,2024-08-08 16:58:00
1532972,있는 그대로 보시면 됩니다 그리고 테슬라는 화재 없어요? 테슬라는 전문가가 넘치는데 이것밖에 못해요?,힐스leqel대전,2024-08-08 16:57:00
1532972,저분이 뭐 테슬라 대표도 아닌데 ㅜㅜ,소멸은신I모델YI인천,2024-08-08 17:03:00
1532972,이해합니다 테슬라에 좋은 오너분들 많은건 아는데 저 사람이 벤츠 들먹이면서 비꼬시네요,힐스leqel대전,2024-08-08 17:07:00
1532972,결과 기다려보면 되겠네요. 차량개조여부도 궁금하네요.,크리스l모SYEV9l경기,2024-08-08 16:53:00
1532931,현재까진 배터리 화재0건 입니다,우우우1I부산,2024-08-08 16:25:00
1532931,멋지네요!,테리lQ4l서울,2024-08-08 16:31:00
1532931,LG엔솔 NCM622이 공식안내더라고요,리디I폴스타2I서울,2024-08-08 16:35:00
1532931,전기차중 제일 안전한데회사는 상장 폐지 위기 ㅎㅎ,코니I코나SX2I성남,2024-08-08 16:38:00
1532931,볼보랑 지리랑 합작회사 아닌가요? 무슨일인가요??,테리lQ4l서울,2024-08-08 16:38:00
1532931,합작 아니구요 중국 지리자동차 산하브랜드입니다볼보는 트럭사업남기고 승용차는 지리에 매각한지 오래되었어요윗분은 폴스타 나스닥 상폐위기 말씀하시는것 같습니다,피치l모델3l청주,2024-08-08 16:50:00
1532931,"볼보 지리 합작 맞고, 볼보가 최근 지분을 배분해서 그렇습니다.",전기차돌밖이I서울,2024-08-09 10:48:00
1532931,합작으로 시작요,푸른바다I폴별I경기,2024-08-09 16:32:00
1532931,차가 돌아다녀야지 불이라도 나지. 출고대수가 적어서 그럴 위험 적을 거 같아요.,기분좋은lEQABl서울,2024-08-08 17:21:00
1532931,글로벌 0대인데 의미있는 데이터로 봐야죠글로벌로 풀린 물량이 국내에 풀린 벤츠보단 많지 않을까요?,벨틴Ip4p2i4I전북,2024-08-08 19:37:00
1532931,폴스타2글로벌 판매 16만대 중화재 0건 입니다.,샘글l폴스타2l광주,2024-08-09 10:47:00
1532931,폴스타는 차량에 들어간 배터리 제조 회사랑 어떤 혼합율 배터리 쓰는지 투명하게 밝혀서 그런지.안전에 대해 신뢰도가 다른거 같아요 이시국에 다시한번 깨달았음요,전기차돌밖이I서울,2024-08-09 10:56:00
1532931,판매량이 적으니 화재소식이 없어야죠,코끼Ii3I서울,2024-08-08 17:22:00
1532931,글로벌 0대인데 의미있는 데이터로 봐야죠글로벌로 풀린 물량이 국내에 풀린 벤츠보단 많지 않을까요?,벨틴Ip4p2i4I전북,2024-08-08 19:38:00
1532931,작년기준 15만대 이상임.,우우우1I부산,2024-08-09 07:11:00
1532931,폴스타는 차량에 들어간 배터리 제조 회사랑 어떤 혼합율 배터리 쓰는지 투명하게 밝혀서 그런지.안전에 대해 신뢰도가 다른거 같아요 이시국에 다시한번 깨달았음요,전기차돌밖이I서울,2024-08-09 10:57:00
1532931,항상 똑같은 패턴ㅋㅋㅋ 폴스타 화재0건 -> 판매량 적어서 무의미 -> 글로벌 16만대 팔렸어요 다른 제조사는 몇대부터 불났나요? -> ????,날아앙l폴스타2l안양,2024-08-12 09:07:00
1532915,충전 후 코드만 잘 뽑아주시면 괜찮치 않을까요?,라이츄lEV6l천안,2024-08-08 16:07:00
1532915,ev6는 충전 중에 화재발생한겁니다.,오잉IEV6l양주,2024-08-08 16:07:00
1532915,충전중이었나요 ㅠㅠ 완속/급속 어떤거였나요,쉘키I아이오닉5I화성,2024-08-08 18:25:00
1532915,아이오닉5는 불난적이 없습니다.안심하셔도 됩니다.,벤츠EQCI광주,2024-08-08 16:08:00
1532915,아이오닉5 운행중인 입장에서 이런 글 하나 만으로도 최근 심란한 마음에 조금이나만 편해지네요 감사합니다.,떡갈나무I오닉5I충북,2024-08-08 16:10:00
1532915,감사합니다,쉘키I아이오닉5I화성,2024-08-08 18:24:00
1532915,아이오닉5뿐 아니라 모든 전기차가 벤츠처럼 충전중이거나 충전후가 아닌 장시간 주차중에 화재가 나는 경우는 아주 드문일이라고 합니다,킹스턴l아이오닉l김해,2024-08-08 16:15:00
1532915,달리다가 화재난 경우는 있네요,디피IeqeI인천,2024-08-08 16:14:00
1532915,걔는 가만히 있을 때가 안전합니다.,빠떼리I모XI세종,2024-08-08 16:15:00
1532915,완속충전중 연결잭부위 열나는게정상인가요?여름철 조금 뜨겁지는 않은데열감이 있네요,무사신니로evl부산,2024-08-08 16:34:00
1532915,판매량이 이정도로 많은데 지금까지 없었으면 이정도는 걱정안해도 될껍니다만약 사고난다면 번갬맞을 확률이라 이건 대비가 불가능하죠,거북l아이오닉5l시흥,2024-08-08 19:06:00
1532915,다행이네요.,도다리l진주,2024-08-08 20:11:00
1532915,CCUS 터지는정도입니다,뚜끼lEV6l성남,2024-08-12 11:16:00
1532914,뉴스니뭐니 미디어에 계속 언급해서 불안감을 더욱 크게 조성하는것도 크다고 생각합니다.,쉘키,2024-08-08 16:05:00
1532914,미디어는 조회수에 환장한 놈들이라..사회현상 따위 개념치 않죠..그저 조회수가 올라갈 수 있는 자극적인 제목만 생각할 뿐이니까요..,금도리IEV6I인천,2024-08-08 16:06:00
1532914,카라큘라를 생각해보세요 ㅋㅋ 조회수에 환장한놈들 많아요 기레기 뿐만 아니라 요기 게시글 쓰는 일부사람들도 ㅎ,쭈니lev6l서울,2024-08-08 16:26:00
1532914,옳으신 말씀입니다. 백번 공감합니다.,굿즈I 아5 l대구,2024-08-08 16:08:00
1532914,시간이 지나면 어느정도 잊혀지긴 하겠지만..그때까지는..전기차 차주들 은근 눈치보며 살아야 할꺼 같아요..,금도리IEV6I인천,2024-08-08 16:09:00
1532914,벤츠가 문제임...빨리 대책반 마련해서 화재원인확인하고 대책강구해야하는데...그냥 있음...만약에 하부충격으로 화재다 이러면 차주는 어떻게함? 그게 만약 내차면 무서운거임ㅠ,진주l마구마,2024-08-08 16:10:00
1532914,벤츠도 아는거죠..대충 뭉게도 지나갈수 있는 환경의 국가라는걸..,금도리IEV6I인천,2024-08-08 16:11:00
1532914,현대를 좋아하는건 아니지만 그래도 저랬으면 어떻게라도 처리했을꺼임 당연히 결함은 아니다했겠지만 어떻게라도 수습은할려고할텐데 벤츠는 일단 손놓고 구경중...,진주l마구마,2024-08-08 16:15:00
1532914,아까 보니까..검단에 있는 수입차 전용 정비소에서 해당 화재차량 검사하고 있긴 하더라구요..;;,금도리IEV6I인천,2024-08-08 16:28:00
1532914,근데 벤츠랑 벤츠코리아는 다른회사 아닌가요? 갑자기 궁금해집니다 ㅋ,용칼I아이오닉5I포항,2024-08-08 17:14:00
1532914,벤츠를 한국에서 대표하는게 벤츠코리아 아닌가요?지사느낌,진주l마구마,2024-08-08 17:17:00
1532914,딜러사로 생각했는데 그건 따로있나보네요. 감사합니다,용칼I아이오닉5I포항,2024-08-08 17:19:00
1532914,정치적 이슈나 언론을 다른데 집중보도로 사람들 분열시키듯 나라에서 조장하는거같아요 문제된 차량 제조사 배터리 업체한테 조사에 협조하라고 해야되는데 나라에선 암것도 않하는듯하네요 세계적 추세 친환경산업을 육성 시켜야되는데 윤통은 RE100 개념도 모른는 분이고요 참 한심스러울 뿐이네요,쭈쭈ev6충남,2024-08-08 16:10:00
1532914,현 정부에게 뭘 기대한다는것 자체가 오산인거 같습니다..;;,금도리IEV6I인천,2024-08-08 16:12:00
1532914,공감입니다.,빈슬I아5I화성,2024-08-08 16:14:00
1532914,"문제 삼지 않으면 문제가 안 되는데, 문제를 삼으면 문제가 됩니다, 정부나 시민단체의 반응이 없는거보면 곧 잊혀질거 같아요",밀키스I아5I대전,2024-08-08 16:13:00
1532914,"그렇죠..그냥 잊혀져 버릴꺼 같습니다..다만, 다시 같은 문제가 생기면..그때의 시민들은 더 문제시할꺼 같다는게..;;",금도리IEV6I인천,2024-08-08 16:14:00
1532914,전기차 차주들이 워낙 비꼬았어야죠..시기상조다 나만탈거다 이러고있으니거봐라 .. 라는 말들이 나올수밖에,충청ll알라,2024-08-08 16:42:00
1532914,누구를 상대로 비꼬았다는걸까요?,금도리IEV6I인천,2024-08-08 16:43:00
1532914,전기차 구매할라고 질문글 올린사람들한테요 .,충청ll알라,2024-08-08 16:44:00
1532914,전기차의 장단점에 이야기를 하면 불난다더라 죽는다더라 라고 하며 시기상조를 먼저 언급한 쪽이 있어서 생겨난거 아닐까요?,금도리IEV6I인천,2024-08-08 16:46:00
1532914,안타는 사람들이 먼저 비꼬았을수도있는데요 .. 모든 질문글 보세요 예의있게 질문글 올려도시기상조입니다 라는 댓글이 빠진 질문글이 있는지 전기차 안타는 너는 빡통이다 라는듯 댓글을 다는사람들이 꼭있죠..그런 몇몇때문이죠 뭐,충청ll알라,2024-08-08 16:48:00
1532914,그렇군요..,금도리IEV6I인천,2024-08-08 16:49:00
1532914,평소에 전기차에 불편한 감정을 갖고있던 사람들이 이번 사건으로 표출하는거라고 봅니다. 근데 이건 한동안 어쩔수 없지 않나 싶습니다. 세계적으로 전기차 변화는 주춤 할거라 하고 전기차위 장점만으로는 아직 내연기관차를 밀어내기엔 힘들구요. 더 발달된 안정화된 기술만이 답일거같습니다,좀비성기사I니로I광주,2024-08-08 16:48:00
1532914,과거 BMW사태와 비슷하게 생각되는거 같더군요..,금도리IEV6I인천,2024-08-08 16:50:00
1532914,보통 이런걸 확증편향이라고 하죠.,레토l아이오닉5l서울,2024-08-08 17:01:00
1532914,낯익은 닉넴.. 반갑습니다 금도리님 유령딴게이 입니다 연예인을 실제로 만난 기분이네요 헤헷,간제비맘l토레스l경기,2024-08-08 17:34:00
1532914,엌 안녕하세욬ㅋㅋㅋㅋㅋㅋㅋ,금도리IEV6I인천,2024-08-08 17:35:00
1532914,이게 팩트인듯,애기아빠I모델yI김포,2024-08-09 03:51:00
1532899,전기차 지하 주차장에 주차 금지라며 이동주차 요청받았어요…ㅠㅠ,경기Ie2008I 뽈뽈뽈,2024-08-08 15:54:00
